face,i,j,center_x_mm,center_y_mm,center_z_mm,orientation
bottom(z=0),0,0,50.0,50.0,100.0,+z
bottom(z=0),0,1,50.0,150.0,100.0,+z
bottom(z=0),0,2,50.0,250.0,100.0,+z
bottom(z=0),0,3,50.0,350.0,100.0,+z
bottom(z=0),0,4,50.0,450.0,100.0,+z
bottom(z=0),0,5,50.0,550.0,100.0,+z
bottom(z=0),0,6,50.0,650.0,100.0,+z
bottom(z=0),0,7,50.0,750.0,100.0,+z
bottom(z=0),0,8,50.0,850.0,100.0,+z
bottom(z=0),0,9,50.0,950.0,100.0,+z
bottom(z=0),0,10,50.0,1050.0,100.0,+z
bottom(z=0),0,11,50.0,1150.0,100.0,+z
bottom(z=0),0,12,50.0,1250.0,100.0,+z
bottom(z=0),0,13,50.0,1350.0,100.0,+z
bottom(z=0),0,14,50.0,1450.0,100.0,+z
bottom(z=0),0,15,50.0,1550.0,100.0,+z
bottom(z=0),0,16,50.0,1650.0,100.0,+z
bottom(z=0),0,17,50.0,1750.0,100.0,+z
bottom(z=0),0,18,50.0,1850.0,100.0,+z
bottom(z=0),0,19,50.0,1950.0,100.0,+z
bottom(z=0),0,20,50.0,2050.0,100.0,+z
bottom(z=0),0,21,50.0,2150.0,100.0,+z
bottom(z=0),0,22,50.0,2250.0,100.0,+z
bottom(z=0),0,23,50.0,2350.0,100.0,+z
bottom(z=0),0,24,50.0,2450.0,100.0,+z
bottom(z=0),0,25,50.0,2550.0,100.0,+z
bottom(z=0),0,26,50.0,2650.0,100.0,+z
bottom(z=0),0,27,50.0,2750.0,100.0,+z
bottom(z=0),0,28,50.0,2850.0,100.0,+z
bottom(z=0),0,29,50.0,2950.0,100.0,+z
bottom(z=0),0,30,50.0,3050.0,100.0,+z
bottom(z=0),0,31,50.0,3150.0,100.0,+z
bottom(z=0),0,32,50.0,3250.0,100.0,+z
bottom(z=0),0,33,50.0,3350.0,100.0,+z
bottom(z=0),0,34,50.0,3450.0,100.0,+z
bottom(z=0),0,35,50.0,3550.0,100.0,+z
bottom(z=0),0,36,50.0,3650.0,100.0,+z
bottom(z=0),0,37,50.0,3750.0,100.0,+z
bottom(z=0),0,38,50.0,3850.0,100.0,+z
bottom(z=0),0,39,50.0,3950.0,100.0,+z
bottom(z=0),0,40,50.0,4050.0,100.0,+z
bottom(z=0),0,41,50.0,4150.0,100.0,+z
bottom(z=0),0,42,50.0,4250.0,100.0,+z
bottom(z=0),0,43,50.0,4350.0,100.0,+z
bottom(z=0),0,44,50.0,4450.0,100.0,+z
bottom(z=0),0,45,50.0,4550.0,100.0,+z
bottom(z=0),0,46,50.0,4650.0,100.0,+z
bottom(z=0),0,47,50.0,4750.0,100.0,+z
bottom(z=0),0,48,50.0,4850.0,100.0,+z
bottom(z=0),0,49,50.0,4950.0,100.0,+z
bottom(z=0),0,50,50.0,5050.0,100.0,+z
bottom(z=0),0,51,50.0,5150.0,100.0,+z
bottom(z=0),0,52,50.0,5250.0,100.0,+z
bottom(z=0),0,53,50.0,5350.0,100.0,+z
bottom(z=0),0,54,50.0,5450.0,100.0,+z
bottom(z=0),0,55,50.0,5550.0,100.0,+z
bottom(z=0),0,56,50.0,5650.0,100.0,+z
bottom(z=0),0,57,50.0,5750.0,100.0,+z
bottom(z=0),0,58,50.0,5850.0,100.0,+z
bottom(z=0),0,59,50.0,5950.0,100.0,+z
bottom(z=0),0,60,50.0,6050.0,100.0,+z
bottom(z=0),0,61,50.0,6150.0,100.0,+z
bottom(z=0),0,62,50.0,6250.0,100.0,+z
bottom(z=0),0,63,50.0,6350.0,100.0,+z
bottom(z=0),0,64,50.0,6450.0,100.0,+z
bottom(z=0),0,65,50.0,6550.0,100.0,+z
bottom(z=0),0,66,50.0,6650.0,100.0,+z
bottom(z=0),0,67,50.0,6750.0,100.0,+z
bottom(z=0),0,68,50.0,6850.0,100.0,+z
bottom(z=0),0,69,50.0,6950.0,100.0,+z
bottom(z=0),0,70,50.0,7050.0,100.0,+z
bottom(z=0),0,71,50.0,7150.0,100.0,+z
bottom(z=0),0,72,50.0,7250.0,100.0,+z
bottom(z=0),0,73,50.0,7350.0,100.0,+z
bottom(z=0),0,74,50.0,7450.0,100.0,+z
bottom(z=0),1,0,150.0,50.0,100.0,+z
bottom(z=0),1,1,150.0,150.0,100.0,+z
bottom(z=0),1,2,150.0,250.0,100.0,+z
bottom(z=0),1,3,150.0,350.0,100.0,+z
bottom(z=0),1,4,150.0,450.0,100.0,+z
bottom(z=0),1,5,150.0,550.0,100.0,+z
bottom(z=0),1,6,150.0,650.0,100.0,+z
bottom(z=0),1,7,150.0,750.0,100.0,+z
bottom(z=0),1,8,150.0,850.0,100.0,+z
bottom(z=0),1,9,150.0,950.0,100.0,+z
bottom(z=0),1,10,150.0,1050.0,100.0,+z
bottom(z=0),1,11,150.0,1150.0,100.0,+z
bottom(z=0),1,12,150.0,1250.0,100.0,+z
bottom(z=0),1,13,150.0,1350.0,100.0,+z
bottom(z=0),1,14,150.0,1450.0,100.0,+z
bottom(z=0),1,15,150.0,1550.0,100.0,+z
bottom(z=0),1,16,150.0,1650.0,100.0,+z
bottom(z=0),1,17,150.0,1750.0,100.0,+z
bottom(z=0),1,18,150.0,1850.0,100.0,+z
bottom(z=0),1,19,150.0,1950.0,100.0,+z
bottom(z=0),1,20,150.0,2050.0,100.0,+z
bottom(z=0),1,21,150.0,2150.0,100.0,+z
bottom(z=0),1,22,150.0,2250.0,100.0,+z
bottom(z=0),1,23,150.0,2350.0,100.0,+z
bottom(z=0),1,24,150.0,2450.0,100.0,+z
bottom(z=0),1,25,150.0,2550.0,100.0,+z
bottom(z=0),1,26,150.0,2650.0,100.0,+z
bottom(z=0),1,27,150.0,2750.0,100.0,+z
bottom(z=0),1,28,150.0,2850.0,100.0,+z
bottom(z=0),1,29,150.0,2950.0,100.0,+z
bottom(z=0),1,30,150.0,3050.0,100.0,+z
bottom(z=0),1,31,150.0,3150.0,100.0,+z
bottom(z=0),1,32,150.0,3250.0,100.0,+z
bottom(z=0),1,33,150.0,3350.0,100.0,+z
bottom(z=0),1,34,150.0,3450.0,100.0,+z
bottom(z=0),1,35,150.0,3550.0,100.0,+z
bottom(z=0),1,36,150.0,3650.0,100.0,+z
bottom(z=0),1,37,150.0,3750.0,100.0,+z
bottom(z=0),1,38,150.0,3850.0,100.0,+z
bottom(z=0),1,39,150.0,3950.0,100.0,+z
bottom(z=0),1,40,150.0,4050.0,100.0,+z
bottom(z=0),1,41,150.0,4150.0,100.0,+z
bottom(z=0),1,42,150.0,4250.0,100.0,+z
bottom(z=0),1,43,150.0,4350.0,100.0,+z
bottom(z=0),1,44,150.0,4450.0,100.0,+z
bottom(z=0),1,45,150.0,4550.0,100.0,+z
bottom(z=0),1,46,150.0,4650.0,100.0,+z
bottom(z=0),1,47,150.0,4750.0,100.0,+z
bottom(z=0),1,48,150.0,4850.0,100.0,+z
bottom(z=0),1,49,150.0,4950.0,100.0,+z
bottom(z=0),1,50,150.0,5050.0,100.0,+z
bottom(z=0),1,51,150.0,5150.0,100.0,+z
bottom(z=0),1,52,150.0,5250.0,100.0,+z
bottom(z=0),1,53,150.0,5350.0,100.0,+z
bottom(z=0),1,54,150.0,5450.0,100.0,+z
bottom(z=0),1,55,150.0,5550.0,100.0,+z
bottom(z=0),1,56,150.0,5650.0,100.0,+z
bottom(z=0),1,57,150.0,5750.0,100.0,+z
bottom(z=0),1,58,150.0,5850.0,100.0,+z
bottom(z=0),1,59,150.0,5950.0,100.0,+z
bottom(z=0),1,60,150.0,6050.0,100.0,+z
bottom(z=0),1,61,150.0,6150.0,100.0,+z
bottom(z=0),1,62,150.0,6250.0,100.0,+z
bottom(z=0),1,63,150.0,6350.0,100.0,+z
bottom(z=0),1,64,150.0,6450.0,100.0,+z
bottom(z=0),1,65,150.0,6550.0,100.0,+z
bottom(z=0),1,66,150.0,6650.0,100.0,+z
bottom(z=0),1,67,150.0,6750.0,100.0,+z
bottom(z=0),1,68,150.0,6850.0,100.0,+z
bottom(z=0),1,69,150.0,6950.0,100.0,+z
bottom(z=0),1,70,150.0,7050.0,100.0,+z
bottom(z=0),1,71,150.0,7150.0,100.0,+z
bottom(z=0),1,72,150.0,7250.0,100.0,+z
bottom(z=0),1,73,150.0,7350.0,100.0,+z
bottom(z=0),1,74,150.0,7450.0,100.0,+z
bottom(z=0),2,0,250.0,50.0,100.0,+z
bottom(z=0),2,1,250.0,150.0,100.0,+z
bottom(z=0),2,2,250.0,250.0,100.0,+z
bottom(z=0),2,3,250.0,350.0,100.0,+z
bottom(z=0),2,4,250.0,450.0,100.0,+z
bottom(z=0),2,5,250.0,550.0,100.0,+z
bottom(z=0),2,6,250.0,650.0,100.0,+z
bottom(z=0),2,7,250.0,750.0,100.0,+z
bottom(z=0),2,8,250.0,850.0,100.0,+z
bottom(z=0),2,9,250.0,950.0,100.0,+z
bottom(z=0),2,10,250.0,1050.0,100.0,+z
bottom(z=0),2,11,250.0,1150.0,100.0,+z
bottom(z=0),2,12,250.0,1250.0,100.0,+z
bottom(z=0),2,13,250.0,1350.0,100.0,+z
